,Start,End
164,PRT,CMR
165,PRT,MAR
166,TUR,CMR
167,TUR,DNK
168,TUR,HRV
169,TUR,NGA
170,TUR,ROM
171,TUR,ZAF
172,BRA,JPN
173,BRA,COL
174,BRA,PRY
175,BRA,DNK
176,BRA,HRV
177,BRA,JAM
178,BRA,NOR
179,BRA,ROM
180,BRA,SCO
181,BRA,USA
182,BRA,YUG
183,BRA,ZAF
184,JPN,CMR
185,JPN,KOR
186,JPN,YUG
187,CHL,USA
188,USA,COL
189,USA,NGA
190,USA,MEX
191,USA,SCO
192,USA,CMR
193,USA,DNK
194,USA,HRV
195,USA,IRN
196,USA,MAR
197,USA,NOR
198,USA,ROM
199,USA,TUN
200,USA,YUG
201,USA,PRY
202,USA,JAM
203,USA,ZAF
204,CMR,GRE
205,CMR,DNK
206,CMR,HRV
207,CMR,JAM
208,CMR,NOR
209,CMR,ROM
210,CMR,SCO
211,CMR,YUG
212,CMR,ZAF
213,CMR,PRY
214,GRE,NOR
215,GRE,ROM
216,DNK,SCO
217,DNK,MEX
218,DNK,IRN
219,DNK,MAR
220,DNK,NGA
221,DNK,TUN
222,DNK,HRV
223,DNK,JAM
224,DNK,NOR
225,DNK,ROM
226,DNK,YUG
227,DNK,ZAF
228,DNK,PRY
229,SCO,NOR
230,SCO,MEX
231,SCO,HRV
232,SCO,IRN
233,SCO,MAR
234,SCO,NGA
235,SCO,ROM
236,SCO,TUN
237,SCO,JAM
238,SCO,YUG
239,SCO,ZAF
240,SCO,PRY
241,HRV,MEX
242,HRV,IRN
243,HRV,MAR
244,HRV,NGA
245,HRV,TUN
246,HRV,JAM
247,HRV,NOR
248,HRV,ROM
249,HRV,YUG
250,HRV,ZAF
251,HRV,PRY
252,IRN,JAM
253,IRN,NOR
254,IRN,ROM
255,IRN,YUG
256,IRN,ZAF
257,IRN,PRY
258,JAM,MEX
259,JAM,MAR
260,JAM,NGA
261,JAM,TUN
262,JAM,NOR
263,JAM,ROM
264,JAM,YUG
265,JAM,ZAF
266,JAM,PRY
267,MAR,TUN
268,MAR,NOR
269,MAR,ROM
270,MAR,YUG
271,MAR,ZAF
272,MAR,PRY
273,TUN,NOR
274,TUN,ROM
275,TUN,YUG
276,TUN,ZAF
277,TUN,PRY
278,NGA,CHE
279,NGA,ZAF
280,NGA,NOR
281,NGA,ROM
282,NGA,YUG
283,NGA,PRY
284,CHE,ZAF
285,ZAF,MEX
286,ZAF,NOR
287,ZAF,ROM
288,ZAF,YUG
289,ZAF,PRY
290,NOR,MEX
291,NOR,ROM
292,NOR,YUG
293,NOR,PRY
294,PRY,MEX
295,PRY,ROM
296,PRY,YUG
297,MEX,ROM
298,MEX,YUG
299,ROM,YUG
